Customer_ID,Customer_Name,Total_Sales,Total_Profit,Orders,Avg_Order_Value
TA-21385,Tom Ashbrook,35668.120800000004,6274.9891,25,1426.724832
GT-14710,Greg Tran,34471.89028,5164.84718,30,1149.0630093333334
TC-20980,Tamara Chand,34218.269,8787.474900000001,28,1222.0810357142857
SM-20320,Sean Miller,31125.29496,-1083.67434,21,1482.1569028571428
BW-11110,Bart Watters,30613.6165,3337.4659,35,874.6747571428572
HL-15040,Hunter Lopez,29664.23058,7657.50178,20,1483.211529
SE-20110,Sanjit Engle,29532.62502,5863.62392,36,820.350695
PS-19045,Penelope Sewall,29252.3194,4426.1951,26,1125.0892076923078
RB-19360,Raymond Buch,29197.634599999998,8523.9515,25,1167.905384
ZC-21910,Zuschuss Carroll,28472.81926,452.5032599999999,37,769.5356556756757
CC-12370,Christopher Conant,28229.8514,3982.9287,30,940.9950466666667
SP-20920,Susan Pistek,28124.21286,6649.62626,28,1004.4361735714285
NF-18385,Natalie Fritzler,28044.3595,1362.2721,32,876.386234375
PF-19120,Peter Fuller,27993.04966,623.4013600000001,28,999.7517735714285
FH-14365,Fred Hopkins,27649.32652,4101.91312,30,921.6442173333332
HM-14860,Harry Marie,27434.1676,6544.886399999999,37,741.4639891891892
BE-11335,Bill Eplett,27158.0184,7790.6963,37,734.0004972972973
AF-10870,Art Ferguson,26487.2585,1736.0717000000002,36,735.7571805555556
DR-12940,Daniel Raglin,25641.46492,5505.92292,33,777.0140884848485
SC-20095,Sanjit Chand,25602.61,8106.2179,28,914.3789285714286
MY-18295,Muhammed Yedwab,25570.49418,2553.67708,29,881.7411786206897
BM-11140,Becky Martin,25312.2927,-1140.6354,29,872.8376793103449
PO-18850,Patrick O'Brill,25274.4702,3249.2777,41,616.4504926829268
EM-13960,Eric Murdock,25228.52948,2593.94148,37,681.8521481081082
KD-16495,Keith Dawkins,24996.5031,5152.9625,36,694.3473083333333
LB-16795,Laurel Beltran,24589.87022,4515.38322,31,793.22162
ME-17320,Maria Etezadi,24527.029,3359.6504999999997,30,817.5676333333333
LA-16780,Laura Armstrong,24273.0019,3754.0198,34,713.9118205882353
AM-10705,Anne McFarland,24218.5645,2728.6451,30,807.2854833333333
JH-15820,John Huston,23586.7205,4829.6727,31,760.8619516129032
BH-11710,Brosina Hoffman,23537.335,3243.9438,31,759.2688709677419
DB-13060,Dave Brooks,23476.91166,3315.62286,26,902.9581407692308
BN-11470,Brad Norvell,23378.10388,1548.04098,29,806.1415131034482
BF-11005,Barry Franz,23347.83866,939.2375600000001,25,933.9135464000001
SW-20755,Steven Ward,23321.579999999998,2295.7056,31,752.3090322580645
KD-16270,Karen Daniels,23204.2675,3914.2347000000004,29,800.1471551724138
TS-21370,Todd Sumrall,23201.678,4101.1514,27,859.3214074074074
JW-15220,Jane Waco,23103.7263,4115.1517,34,679.5213617647058
AB-10105,Adrian Barton,22966.78,6912.6145,33,695.9630303030302
TP-21130,Theone Pippenger,22697.57728,1964.4073799999999,37,613.4480345945947
